,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
91664,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
91715,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91733,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91748,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91750,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
91774,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91808,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91810,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91814,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91820,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91824,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91853,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91856,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91860,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91861,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
91863,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91866,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91874,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91875,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91876,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91883,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91888,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
91891,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91892,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91896,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91905,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91910,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91911,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
91916,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
91918,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91920,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
91923,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92086,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
92100,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92113,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92130,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92139,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92143,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92173,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92193,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92200,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92220,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92221,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92224,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92231,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92238,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92283,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
92325,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92328,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
92385,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reaids
